Model,Sampling,Accuracy
M1_LogisticRegression,Sampling1_ROS,0.9170305676855895
M1_LogisticRegression,Sampling2_RUS,0.3333333333333333
M1_LogisticRegression,Sampling3_SMOTE,0.9170305676855895
M1_LogisticRegression,Sampling4_NearMiss,0.8333333333333334
M1_LogisticRegression,Sampling5_Stratified,0.9827586206896551
M2_DecisionTree,Sampling1_ROS,0.9912663755458515
M2_DecisionTree,Sampling2_RUS,0.6666666666666666
M2_DecisionTree,Sampling3_SMOTE,0.9781659388646288
M2_DecisionTree,Sampling4_NearMiss,0.8333333333333334
M2_DecisionTree,Sampling5_Stratified,0.9655172413793104
M3_RandomForest,Sampling1_ROS,1.0
M3_RandomForest,Sampling2_RUS,0.6666666666666666
M3_RandomForest,Sampling3_SMOTE,0.9890829694323144
M3_RandomForest,Sampling4_NearMiss,0.8333333333333334
M3_RandomForest,Sampling5_Stratified,0.9827586206896551
M4_SVM,Sampling1_ROS,0.7510917030567685
M4_SVM,Sampling2_RUS,0.6666666666666666
M4_SVM,Sampling3_SMOTE,0.6746724890829694
M4_SVM,Sampling4_NearMiss,0.6666666666666666
M4_SVM,Sampling5_Stratified,0.9827586206896551
M5_KNN,Sampling1_ROS,0.9890829694323144
M5_KNN,Sampling2_RUS,0.6666666666666666
M5_KNN,Sampling3_SMOTE,0.8602620087336245
M5_KNN,Sampling4_NearMiss,0.6666666666666666
M5_KNN,Sampling5_Stratified,0.9827586206896551
